iata,icao,name,location,time,country
PNK,WIOO,Supadio Airport,"Pontianak, Indonesia",Unknown,Indonesia
PNL,LICG,Pantelleria Airport[1],"Pantelleria, Sicily, Italy",Unknown,Italy
PNN,KPNN,Princeton Municipal Airport,"Princeton, Maine, United States",Unknown,United States
PNP,AYGR,Girua Airport[1],"Popondetta, Papua New Guinea",Unknown,Papua New Guinea
PNQ,VAPO,Pune Airport,"Pune, Maharashtra, India",Unknown,India
PNR,FCPP,Pointe Noire Airport,"Pointe-Noire, Republic of the Congo",Unknown,Republic of the Congo
PNS,KPNS,Pensacola International Airport,"Pensacola, Florida, United States",Unknown,United States
PNT,SCNT,Teniente Julio Gallardo Airport,"Puerto Natales, Chile",Unknown,Chile
PNU,Not Available,Panguitch Municipal Airport (FAA: U55),"Panguitch, Utah, United States",Unknown,United States
PNV,EYPP,Panevėžys Air Base[1] (Pajuostis Airport),"Panevėžys, Lithuania",Unknown,Lithuania
PNX,KGYI,North Texas Regional Airport (FAA: GYI),"Sherman / Denison, Texas, United States",UTC−06:00,United States
PNY,VOTY,Puducherry Airport,"Pondicherry, Puducherry, India",Unknown,India
PNZ,SBPL,Senador Nilo Coelho Airport,"Petrolina, Pernambuco, Brazil",Unknown,Brazil
POA,SBPA,Salgado Filho International Airport,"Porto Alegre, Rio Grande do Sul, Brazil",Unknown,Brazil
